level;character;pinyin
hsk1;说;shuō
hsk1;说话;shuōhuà
hsk1;四;sì
hsk1;送;sòng
hsk1;岁;suì
hsk1;他;tā
hsk1;他们;tā men
hsk1;她;tā
hsk1;她们;tā men
hsk1;太;tài
hsk1;天;tiān
hsk1;天气;tiānqì
hsk1;听;tīng
hsk1;听到;tīng dào
hsk1;听见;tīng jiàn
hsk1;听写;tīng xiě
hsk1;同学;tóngxué
hsk1;图书馆;túshūguǎn
hsk1;外;wài
hsk1;外边;wài biān
hsk1;外国;wài guó
hsk1;外语;wài yǔ
hsk1;玩儿;wánr
hsk1;晚;wǎn
hsk1;晚饭;wǎn fàn
hsk1;晚上;wǎnshang
hsk1;网上;wǎng shàng
hsk1;网友;wǎng yǒu
hsk1;忘;wàng
hsk1;忘记;wàngjì
hsk1;问;wèn
hsk1;我;wǒ
hsk1;我们;wǒmen
hsk1;五;wǔ
hsk1;午饭;wǔ fàn
hsk1;西;xī
hsk1;西边;xī biān
hsk1;洗;xǐ
hsk1;洗手间;xǐshǒujiān
hsk1;喜欢;xǐhuan
hsk1;下;xià
hsk1;下班;xià bān
hsk1;下边;xià biān
hsk1;下车;xià chē
hsk1;下次;xià cì
hsk1;下课;xià kè
hsk1;下午;xiàwǔ
hsk1;下雨;xiàyǔ
hsk1;先;xiān
hsk1;先生;xiānsheng
hsk1;现在;xiànzài
hsk1;想;xiǎng
hsk1;小;xiǎo
hsk1;小孩儿;xiǎo háir
hsk1;小姐;xiǎojiě
hsk1;小朋友;xiǎo péng yǒu
hsk1;小时;xiǎoshí
hsk1;小学;xiǎo xué
hsk1;小学生;xiǎo xué shēng
hsk1;笑;xiào
hsk1;写;xiě
hsk1;谢谢;xièxie
hsk1;新;xīn
hsk1;新年;xīn nián
hsk1;星期;xīngqī
hsk1;星期日;xīng qī rì
hsk1;星期天;xīng qī tiān
hsk1;行;xíng
hsk1;休息;xiūxi
hsk1;学;xué
hsk1;学生;xuésheng
hsk1;学习;xuéxí
hsk1;学校;xuéxiào
hsk1;学院;xué yuàn
hsk1;要;yào
hsk1;爷爷;yéye
hsk1;也;yě
hsk1;页;yè
hsk1;一;yī
hsk1;衣服;yīfu
hsk1;医生;yīshēng
hsk1;医院;yīyuàn
hsk1;一半;yí bàn
hsk1;一会儿;yíhuìr
hsk1;一块儿;yí kuàir
hsk1;一下儿;yí xiàr
hsk1;一样;yíyàng
hsk1;一边;yìbiān
hsk1;一点儿;yīdiǎnr
hsk1;一起;yìqǐ
hsk1;一些;yì xiē
hsk1;用;yòng
hsk1;有;yǒu
hsk1;有的;yǒu de
hsk1;有名;yǒumíng
hsk1;有时候｜有时;yǒu shí hòu ｜ yǒu shí
hsk1;有些;yǒu （ yì ） xiē
hsk1;有用;yǒu yòng
hsk1;右;yòu
hsk1;右边;yòubian
hsk1;雨;yǔ
hsk1;元;yuán
hsk1;远;yuǎn
hsk1;月;yuè
hsk1;再;zài
hsk1;再见;zàijiàn
hsk1;在;zài
hsk1;在家;zài jiā
hsk1;早;zǎo
hsk1;早饭;zǎo fàn
hsk1;早上;zǎoshang
hsk1;怎么;zěnme
hsk1;站;zhàn
hsk1;找;zhǎo
hsk1;找到;zhǎo dào
hsk1;这;zhè
hsk1;这边;zhè biān
hsk1;这里;zhè lǐ
hsk1;这儿;zhèr
hsk1;这些;zhè xiē
hsk1;着;zhe
hsk1;真;zhēn
hsk1;真的;zhēn de
hsk1;正;zhèng
hsk1;正在;zhèngzài
hsk1;知道;zhīdào
hsk1;知识;zhīshi
hsk1;中;zhōng
hsk1;中国;zhōngguó
hsk1;中间;zhōngjiān
hsk1;中文;zhōngwén
hsk1;中午;zhōngwǔ
hsk1;中学;zhōng xué
hsk1;中学生;zhōng xué shēng
hsk1;重;zhòng
hsk1;重要;zhòngyào
hsk1;住;zhù
